,titleColumn,ratingColumn,weeksColumn
0,"
Crazy Rich Asians
",$110.7M,3
1,"
The Meg
",$120.5M,4
2,"
Mission: Impossible - Fallout
",$204.4M,6
3,"
Searching
",$6.6M,2
4,"
Operation Finale
",$7.7M,1
5,"
Christopher Robin
",$85.7M,5
6,"
Alpha
",$27.5M,3
7,"
The Happytime Murders
",$17.0M,2
8,"
BlacKkKlansman
",$38.4M,4
9,"
Mile 22
",$32.0M,3
